Run_ID,Avg_temp,Avg_pH,Min_DO %,Inoculum size (mL),Max_RPM,Total feed of Lactose (mL),Total culture duration (days),Contamination (Y/N),Total media volume (mL),Max FPU/ml,Notes
TRICH_041,30.365,3.392,62.708,96.756,249.268,1328.887,5.094,N,4165.288,2.901,Medium yeild
TRICH_042,27.985,5.955,33.686,83.123,207.212,960.593,5.809,N,4001.651,1.02,Medium Yeild
TRICH_043,27.21,4.963,42.516,97.395,219.948,1296.056,4.279,N,2549.557,3.388,Medium yeild
TRICH_044,29.544,5.503,18.762,134.107,256.737,1176.001,6.621,N,3869.124,2.455,Low yeild
TRICH_045,28.276,4.707,14.406,97.498,248.051,1062.05,5.792,Y,4305.562,2.339,Low yeild
TRICH_046,30.205,5.387,22.599,92.092,234.299,413.117,4.201,N,4629.684,4.329,Low yeild
TRICH_047,24.448,5.057,48.129,101.907,273.448,1284.54,4.939,Y,4817.777,1.381,Low yeild
TRICH_048,27.527,5.614,34.902,98.384,245.129,1070.126,5.099,Y,4653.028,4.547,Medium Yeild
TRICH_049,30.586,5.585,26.128,62.089,246.204,939.139,5.896,Y,4533.597,-1.278,Low yeild
TRICH_050,29.961,5.232,19.028,105.703,270.838,-83.518,4.463,N,4187.094,0.757,Low yeild
TRICH_051,28.19,6.227,62.638,133.84,245.178,927.65,4.948,Y,4793.47,2.126,Medium Yeild
TRICH_052,24.085,5.227,12.182,79.301,261.531,1941.235,4.579,Y,4252.746,1.185,Medium Yeild
TRICH_053,30.941,4.733,-16.769,115.161,266.219,1946.227,5.189,Y,3561.344,0.656,Medium Yeild
TRICH_054,25.643,6.907,36.526,99.791,238.902,1493.814,5.98,Y,3025.837,3.465,Medium Yeild
TRICH_055,28.368,4.833,1.836,106.537,252.324,868.313,4.651,Y,4789.23,-2.261,Low yeild
TRICH_056,27.466,5.89,16.45,110.099,264.442,1270.146,6.221,N,3545.476,-1.537,Medium Yeild
TRICH_057,26.091,5.416,-3.797,115.52,257.112,819.26,6.064,Y,4468.906,4.014,Low yeild
TRICH_058,27.604,4.487,41.371,82.06,253.422,913.776,6.398,Y,4369.178,3.419,Medium Yeild
TRICH_059,26.462,4.405,-0.866,89.095,254.29,2112.745,5.374,Y,3974.08,1.617,Medium Yeild
TRICH_060,27.961,4.62,5.686,89.304,262.064,384.618,6.038,N,4057.268,1.665,Medium Yeild
TRICH_061,25.211,5.068,5.464,100.424,234.921,1103.676,5.218,N,4286.634,6.02,Low yeild
TRICH_062,30.57,5.626,54.936,77.782,261.555,1353.806,3.415,N,4546.131,1.857,High Yeild
TRICH_063,28.825,5.429,38.635,86.618,249.533,1937.431,5.267,Y,4961.979,3.181,Medium Yeild
TRICH_064,30.114,4.797,18.627,111.101,306.215,934.311,7.357,N,3848.117,3.684,Low yeild
TRICH_065,26.134,4.315,15.624,108.806,267.722,441.504,5.654,N,3435.913,1.606,Low yeild
TRICH_066,27.179,5.78,44.259,105.132,263.587,64.07,5.082,N,3847.864,1.961,Low yeild
TRICH_067,23.707,6.143,17.998,62.016,237.398,1417.087,5.319,Y,4009.01,1.537,Low yeild
TRICH_068,23.76,4.619,42.346,90.907,215.868,1458.396,5.739,Y,4034.154,-2.415,Medium Yeild
TRICH_069,27.421,5.514,27.268,107.034,234.659,1870.57,7.074,N,3478.959,-0.761,Medium Yeild
TRICH_070,23.93,3.914,13.757,79.077,241.847,1119.772,5.078,N,3641.734,1.058,High Yeild
TRICH_071,27.044,5.071,-22.774,120.027,249.438,391.715,4.807,Y,3289.959,2.778,Medium Yeild
TRICH_072,27.101,3.682,17.854,122.885,217.439,-280.221,5.014,N,4324.115,3.191,Medium Yeild
TRICH_073,28.608,4.859,-2.105,79.655,229.555,1525.353,5.584,N,4498.487,5.229,High Yeild
TRICH_074,31.8,5.922,46.934,65.453,255.164,752.802,6.393,N,3974.654,2.419,Low yeild
TRICH_075,27.558,4.361,21.089,79.267,265.39,1212.503,7.468,Y,3492.845,2.089,Low yeild
TRICH_076,24.865,6.309,21.817,65.214,243.517,919.188,5.015,N,4591.181,3.998,Medium Yeild
TRICH_077,30.3,5.472,21.7,92.228,272.906,406.204,5.357,Y,4339.77,3.09,Low yeild
TRICH_078,27.32,5.404,62.3,88.943,207.401,1738.846,5.08,Y,3744.898,3.867,Medium Yeild
TRICH_079,27.331,5.362,20.779,125.665,265.321,1173.337,5.406,N,3651.857,-2.627,Low yeild
TRICH_080,32.38,3.726,-1.571,82.251,230.138,726.59,5.804,N,4386.953,4.95,Low yeild
TRICH_081,31.479,4.218,39.476,101.355,249.197,1228.959,6.342,Y,4370.701,2.496,Medium yeild
TRICH_082,27.494,4.829,-7.408,87.526,235.921,1483.565,5.425,Y,4341.728,4.269,Low yeild
TRICH_083,26.534,4.942,6.492,93.875,252.354,1611.339,3.894,Y,5380.008,2.871,High Yeild
TRICH_084,23.281,5.339,16.827,105.837,282.624,2006.215,4.645,Y,4110.17,5.09,Medium Yeild
TRICH_085,24.972,5.147,-9.188,127.795,202.87,995.777,5.598,N,3455.445,2.374,Medium Yeild
TRICH_086,27.066,4.348,20.313,94.303,283.741,1351.192,5.208,Y,4183.892,-0.433,Low yeild
TRICH_087,31.961,4.364,21.403,113.078,223.632,1756.337,4.668,N,3802.365,4.319,Medium Yeild
TRICH_088,29.678,4.431,32.702,68.327,282.617,702.178,5.452,N,4783.35,3.082,Medium Yeild
TRICH_089,25.624,6.959,44.032,92.583,295.913,1383.933,4.188,Y,3882.371,1.721,Medium Yeild
TRICH_090,24.547,5.306,16.384,79.156,271.608,546.432,4.759,N,4621.123,2.781,Low yeild
TRICH_091,27.653,5.407,2.938,73.61,219.083,1223.134,5.654,N,5089.603,-0.987,Low yeild
TRICH_092,24.486,4.496,32.982,73.254,233.323,1246.88,4.867,N,4256.959,2.189,Medium yeild
TRICH_093,26.484,5.314,15.502,117.965,261.881,1349.7,6.457,Y,3960.533,-0.577,Low yeild
TRICH_094,25.248,4.33,30.68,82.777,264.349,1982.773,4.408,N,4729.691,5.92,Low yeild
TRICH_095,28.871,5.405,-3.422,66.076,228.859,1639.126,4.527,N,4672.684,4.127,Medium Yeild
TRICH_096,30.78,4.454,-1.701,109.272,219.314,465.398,5.629,N,3799.997,1.191,Low yeild
TRICH_097,26.628,4.77,24.931,86.626,249.375,713.809,5.513,N,3336.621,6.131,Medium Yeild
TRICH_098,25.507,5.52,9.309,70.888,275.936,528.436,6.043,Y,4574.347,2.774,Medium Yeild
TRICH_099,27.05,5.441,-18.169,90.07,229.068,1519.673,5.428,N,4073.91,5.42,Low yeild
TRICH_100,30.411,5.592,7.022,60.825,271.007,1204.821,6.389,N,4273.38,5.188,Low yeild
TRICH_101,28.283,4.534,19.193,104.81,257.087,1871.812,5.994,Y,4722.162,-0.916,Low yeild
TRICH_102,26.205,4.367,11.057,70.636,247.594,606.81,7.554,N,4680.649,1.91,High Yeild
TRICH_103,29.188,4.536,17.726,47.142,215.992,1323.868,5.069,N,4427.201,6.182,Low yeild
TRICH_104,27.321,5.869,36.885,83.494,253.816,1760.392,4.15,N,3886.195,2.815,Medium Yeild
TRICH_105,27.268,4.691,-5.009,107.91,223.161,257.223,4.008,N,4760.883,-0.021,Medium Yeild
TRICH_106,30.343,3.973,5.281,96.879,297.347,1764.692,5.009,Y,2690.256,-3.299,Low yeild
TRICH_107,25.361,5.571,15.967,103.266,208.659,621.433,6.159,N,4813.171,3.438,Low yeild
TRICH_108,30.011,4.734,44.039,79.785,234.56,1155.15,5.147,N,4209.739,2.238,High Yeild
TRICH_109,28.614,4.932,-19.172,74.616,218.101,1638.238,5.8,N,3789.694,-0.086,Medium Yeild
TRICH_110,28.223,4.054,27.906,87.85,283.172,1557.25,6.563,Y,5018.185,2.596,Low yeild
TRICH_111,30.752,4.573,39.517,123.261,270.904,938.257,5.286,N,3632.699,2.66,High Yeild
TRICH_112,28.119,3.958,46.51,108.028,254.405,1203.823,6.482,N,4293.337,4.189,Low yeild
TRICH_113,25.765,6.438,18.205,107.449,258.753,811.167,5.001,Y,4358.173,1.869,Medium Yeild
TRICH_114,27.537,5.686,27.144,83.655,213.742,1150.097,5.955,Y,3764.537,0.11,Low yeild
TRICH_115,25.151,3.81,24.895,65.406,243.017,1212.964,6.963,N,4143.01,0.691,Low yeild
TRICH_116,25.802,6.073,24.775,114.429,217.927,493.743,6.132,N,4584.11,3.411,Medium Yeild
TRICH_117,30.006,5.25,28.995,86.433,246.274,1420.919,5.607,Y,4089.657,2.855,Medium Yeild
TRICH_118,25.032,5.242,49.265,105.853,238.012,1080.457,4.87,N,4010.865,1.426,Medium Yeild
TRICH_119,26.757,4.825,16.007,90.913,213.48,1106.256,6.076,N,4742.703,6.765,High Yeild
TRICH_120,29.744,4.204,-26.036,124.845,214.636,1418.777,7.011,Y,3806.647,4.787,Low yeild
TRICH_121,25.454,6.548,51.247,69.56,244.649,1056.069,6.49,N,3816.393,-0.871,Low yeild
TRICH_122,31.633,4.556,15.558,125.17,253.741,1206.276,6.73,Y,4679.694,3.482,Low yeild
TRICH_123,27.783,5.292,30.793,93.099,217.238,730.825,4.532,N,4720.323,0.831,Low yeild
TRICH_124,29.389,4.82,38.278,123.514,261.057,1584.855,5.675,N,4721.984,7.118,Medium Yeild
TRICH_125,26.574,5.946,32.543,120.93,237.737,452.293,5.355,N,4540.658,2.266,High Yeild
TRICH_126,30.119,5.37,-0.332,83.656,280.223,1410.862,4.55,N,4001.892,-0.92,High Yeild
TRICH_127,28.367,4.487,23.147,122.647,264.077,261.122,6.582,Y,3942.941,2.213,Medium Yeild
TRICH_128,26.4,5.9,45.052,86.438,228.728,459.41,5.152,Y,3688.358,3.518,Medium Yeild
TRICH_129,25.343,5.447,17.045,79.151,270.209,1176.548,5.009,N,3412.81,0.887,Low yeild
TRICH_130,30.899,5.412,40.325,97.188,269.258,1099.975,5.709,Y,4087.003,2.108,Medium Yeild
TRICH_131,31.04,5.473,9.479,55.621,233.011,1319.554,5.918,N,4235.392,2.331,Medium yeild
TRICH_132,29.182,5.771,-2.727,73.248,259.996,912.161,5.224,Y,4008.655,-2.397,High Yeild
TRICH_133,27.383,5.351,2.197,88.083,242.047,1379.329,5.33,N,3579.866,2.47,High Yeild
TRICH_134,26.998,3.525,-31.92,81.463,275.988,751.51,5.417,N,4913.519,3.97,Medium Yeild
TRICH_135,27.076,5.381,29.408,152.774,238.614,568.571,5.802,N,3463.965,-0.847,Low yeild
TRICH_136,28.267,5.129,33.239,67.285,230.344,982.766,7.111,N,4455.819,3.155,Medium Yeild
TRICH_137,29.045,4.595,35.804,55.324,222.076,1159.936,5.746,Y,3694.358,2.997,Medium Yeild
TRICH_138,25.134,4.9,9.348,117.485,267.703,1332.153,6.246,N,4059.903,1.469,Medium Yeild
TRICH_139,23.887,5.585,24.229,93.906,239.009,1455.399,4.297,Y,3915.83,2.815,Low yeild
TRICH_140,28.51,4.42,33.233,87.373,217.452,510.568,6.123,Y,3620.526,4.533,Medium Yeild
TRICH_141,25.134,3.78,24.783,96.615,280.877,297.199,6.565,Y,4212.095,1.346,High Yeild
TRICH_142,25.208,5.074,-3.406,90.759,270.377,1295.68,5.027,N,4188.866,5.244,Low yeild
TRICH_143,27.619,5.333,23.072,103.123,229.429,196.095,5.289,N,4400.365,-0.324,High Yeild
TRICH_144,26.78,5.938,3.082,91.661,272.724,1138.712,6.372,N,3863.661,3.991,Medium yeild
TRICH_145,28.581,4.583,25.725,84.536,233.513,1357.846,6.953,N,5040.094,2.348,Low yeild
TRICH_146,26.686,5.482,30.432,81.034,247.768,2097.448,4.858,N,4150.581,5.048,Medium Yeild
TRICH_147,29.87,3.813,19.636,92.169,278.367,1250.935,5.095,Y,4142.754,3.288,Low yeild
TRICH_148,27.282,4.146,27.735,84.914,256.304,626.288,5.384,Y,3800.972,0.527,Low yeild
TRICH_149,26.831,5.037,32.452,65.731,255.968,1072.162,5.674,N,4614.75,2.866,High Yeild
TRICH_150,30.623,4.76,10.753,90.28,261.451,1179.573,6.479,N,4136.734,3.332,Low yeild
TRICH_151,27.973,4.843,36.956,92.902,235.186,1441.219,5.567,Y,3979.466,-0.007,Low yeild
TRICH_152,28.591,5.402,-14.379,88.984,243.656,670.06,5.374,N,4074.855,3.626,Medium Yeild
TRICH_153,29.569,3.83,60.434,99.833,270.886,1456.253,5.959,N,4300.01,2.305,Low yeild
TRICH_154,32.502,5.332,10.099,97.345,246.846,2078.38,6.445,Y,3595.015,0.404,Medium Yeild
TRICH_155,30.244,4.951,39.57,108.594,253.032,1063.795,5.017,Y,3609.947,2.858,Low yeild
TRICH_156,25.285,6.419,61.183,112.54,262.361,811.904,5.341,N,3824.533,4.6,Medium Yeild
TRICH_157,30.058,5.292,27.644,102.082,243.537,861.31,5.033,N,3787.62,1.462,Medium Yeild
TRICH_158,30.488,5.078,-6.251,95.965,242.081,783.955,4.861,Y,4793.921,-0.018,Medium yeild
TRICH_159,25.766,4.777,31.376,66.58,251.3,1857.918,6.136,Y,4005.94,2.482,Medium Yeild
TRICH_160,27.684,6.043,47.061,63.694,177.718,1019.658,4.83,N,4435.105,0.419,Low yeild
TRICH_161,28.638,4.938,23.61,92.316,268.028,2065.401,6.498,N,4845.525,0.6,Low yeild
TRICH_162,25.335,4.747,20.917,108.872,274.781,645.127,5.801,Y,4248.401,-0.968,High Yeild
TRICH_163,28.081,5.7,-22.199,118.746,225.74,609.213,5.617,N,3412.796,1.388,Low yeild
TRICH_164,28.47,5.444,11.095,68.946,248.457,324.71,5.563,N,4465.062,4.033,Medium Yeild
TRICH_165,24.583,4.461,23.212,115.872,264.175,1611.666,4.882,Y,4365.081,1.352,Low yeild
TRICH_166,28.65,5.076,11.499,100.623,267.157,1685.495,6.204,Y,4376.495,2.952,Low yeild
TRICH_167,23.729,4.613,-11.963,68.87,251.619,1299.475,6.133,Y,3975.076,3.059,Medium Yeild
TRICH_168,23.999,3.789,-13.958,60.323,295.397,1709.998,5.037,N,4362.881,0.014,Medium yeild
TRICH_169,31.21,5.135,-12.442,67.307,195.49,1421.835,4.112,N,3679.127,0.518,Low yeild
TRICH_170,25.365,5.366,27.702,105.168,271.59,950.986,6.113,N,4121.43,4.088,Low yeild
TRICH_171,28.178,6.126,47.312,65.68,240.384,1149.05,4.012,Y,3795.212,3.908,Medium Yeild
TRICH_172,23.763,5.272,1.109,92.607,244.403,1484.985,5.581,N,4543.949,3.6,Medium yeild
TRICH_173,26.396,5.422,21.93,57.462,266.024,1415.592,6.372,N,4051.748,1.396,Medium Yeild
TRICH_174,28.658,4.058,17.748,104.139,253.62,772.75,5.357,N,4424.431,2.029,Medium Yeild
TRICH_175,27.287,4.124,13.141,88.661,252.207,1637.533,4.456,N,4318.478,6.254,Low yeild
TRICH_176,24.777,5.146,29.903,69.893,265.789,-17.448,6.849,N,3130.56,1.237,High Yeild
TRICH_177,27.114,4.324,13.668,74.121,280.231,1200.415,4.709,N,4136.107,3.109,Low yeild
TRICH_178,24.993,6.34,39.711,91.321,216.839,2206.007,4.654,N,4660.057,0.587,Low yeild
TRICH_179,27.411,4.766,15.044,67.926,231.353,1696.003,6.008,N,4833.163,1.097,Low yeild
TRICH_180,26.762,4.47,14.236,81.973,236.99,438.979,6.801,N,3564.708,1.713,High Yeild
TRICH_181,26.807,5.525,26.477,106.987,290.359,1992.913,5.152,N,4220.357,6.99,Low yeild
TRICH_182,27.467,4.502,34.516,84.826,226.588,1119.268,5.249,N,4706.623,-1.833,Medium yeild
TRICH_183,24.931,5.985,52.968,60.536,254.379,2069.591,5.942,N,3436.147,0.456,Medium Yeild
TRICH_184,28.032,4.553,37.561,104.969,268.887,725.303,4.935,N,3702.15,3.694,Low yeild
TRICH_185,25.215,5.461,33.203,86.823,274.733,882.35,7.356,Y,4162.25,2.652,Low yeild
TRICH_186,26.928,4.924,20.579,128.496,231.192,347.879,5.479,N,3343.522,5.617,Medium Yeild
TRICH_187,27.579,5.614,32.923,83.155,261.242,2036.026,7.761,Y,3687.951,2.948,High Yeild
TRICH_188,23.715,5.746,-6.79,92.579,236.914,3126.96,4.511,N,4786.921,1.23,Medium Yeild
TRICH_189,27.879,5.502,17.982,84.865,253.308,1134.496,5.378,N,2440.089,4.064,Low yeild
TRICH_190,27.092,4.64,21.113,126.837,246.052,744.52,5.477,N,4725.006,3.772,Low yeild
TRICH_191,22.684,3.891,28.752,104.306,261.196,701.502,6.098,Y,3508.225,-0.147,Low yeild
TRICH_192,24.083,4.981,6.728,114.631,251.756,1748.588,3.587,Y,3739.271,5.486,High Yeild
TRICH_193,24.932,4.405,30.906,101.777,256.019,1546.461,5.044,Y,3492.776,-0.63,Medium Yeild
TRICH_194,26.018,6.131,3.728,119.526,244.433,1040.322,4.98,Y,4040.131,3.73,Low yeild
TRICH_195,33.136,4.376,2.015,127.333,245.99,688.401,3.178,Y,4155.982,4.875,Medium Yeild
TRICH_196,25.926,4.131,67.31,115.526,235.536,1165.73,4.577,N,3606.94,3.316,Low yeild
TRICH_197,27.546,4.944,5.561,80.663,261.758,267.667,6.214,N,3912.963,4.114,Medium Yeild
TRICH_198,26.973,6.131,27.639,81.574,222.982,1493.27,4.604,N,3996.825,5.753,High Yeild
TRICH_199,23.712,4.586,16.075,76.244,291.957,748.553,5.017,N,3528.514,0.454,Medium Yeild
TRICH_200,25.296,5.129,31.955,88.782,295.582,297.032,4.989,Y,3750.585,2.674,Medium Yeild
TRICH_201,28.552,4.583,28.672,98.791,280.073,2087.135,6.574,Y,3605.871,0.88,Medium Yeild
TRICH_202,25.869,4.257,34.451,86.084,266.9,499.545,4.705,Y,3954.079,1.732,Medium yeild
TRICH_203,27.914,6.032,18.275,119.739,240.824,2056.505,5.762,N,4042.961,3.705,Medium yeild
TRICH_204,25.095,5.915,-22.68,74.198,249.12,914.424,4.469,N,3584.07,3.588,Medium yeild
TRICH_205,28.318,5.241,20.696,68.374,205.856,517.639,3.845,N,4492.273,2.209,Medium Yeild
TRICH_206,27.953,5.397,38.698,86.731,256.343,1561.085,4.846,Y,3586.448,3.558,Medium yeild
TRICH_207,26.424,5.327,2.579,94.491,238.717,959.374,4.908,N,3412.484,3.894,Medium Yeild
TRICH_208,30.899,6.075,17.855,98.784,242.338,-299.908,5.415,N,3889.978,3.469,Low yeild
TRICH_209,27.82,6.38,44.822,62.502,222.291,-234.761,4.799,N,3503.247,-0.114,High Yeild
TRICH_210,30.101,4.12,15.653,80.138,257.021,1418.552,5.67,Y,4521.769,5.144,Medium Yeild
TRICH_211,28.285,5.199,21.455,83.72,263.333,1440.033,6.429,N,4135.56,3.7,Medium Yeild
TRICH_212,29.894,3.308,52.455,65.195,266.004,580.606,4.8,N,4474.193,-0.797,Medium Yeild
TRICH_213,26.077,6.195,22.151,93.603,251.941,845.652,4.777,Y,4951.445,2.094,Medium Yeild
TRICH_214,27.618,5.183,30.536,104.472,276.162,1097.019,4.852,Y,3472.903,3.701,Medium Yeild
TRICH_215,29.066,3.779,-0.313,115.695,263.634,2026.546,4.173,Y,4166.277,0.232,Low yeild
TRICH_216,27.499,5.475,37.4,115.026,285.057,51.429,6.807,N,4504.41,0.063,Low yeild
TRICH_217,29.685,5.281,20.283,102.688,275.052,1464.702,3.546,Y,4389.072,1.712,High Yeild
TRICH_218,28.932,4.657,22.15,81.289,266.208,1463.045,5.519,N,4115.375,-1.009,Low yeild
TRICH_219,27.434,4.98,-5.334,94.557,272.645,1182.122,5.027,N,3953,5.16,Medium Yeild
TRICH_220,27.045,5.41,24.488,72.76,218.624,1621.218,3.412,Y,4588.056,1.627,High Yeild
TRICH_221,29.351,4.499,-5.731,90.001,271.592,-124.133,4.068,N,4757.191,-2.996,Medium Yeild
TRICH_222,24.586,5.675,20.73,74.853,252.669,2013.702,7.427,Y,5747.581,2.471,Low yeild
TRICH_223,29.186,4.497,23.971,79.565,244.533,1320.42,6.512,Y,4040.78,4.69,Medium Yeild
TRICH_224,25.937,4.323,0.994,101.733,173.326,495.682,6.582,N,3917.412,1.971,Medium Yeild
TRICH_225,27.667,5.857,57.94,103.917,254.834,1542.017,5.394,Y,3737.337,5.33,Medium Yeild
TRICH_226,21.612,5.172,-0.161,87.355,257.13,274.451,5.198,N,4508.44,-1.166,High Yeild
TRICH_227,30.95,5.801,-9.253,105.66,250.387,931.071,6.141,Y,4175.567,5.121,Low yeild
TRICH_228,27.18,5.15,32.872,92.652,275.686,200.462,5.156,N,4230.811,0.489,High Yeild
TRICH_229,25.79,5.577,26.231,64.121,264.679,289.941,5.44,Y,4404.929,2.271,Low yeild
TRICH_230,28.317,5.501,29.541,104.442,248.175,1913.755,5.877,N,4557.435,4.534,Low yeild
TRICH_231,28.35,4.146,43.283,117.296,226.704,699.759,4.807,Y,4019.569,2.33,High Yeild
TRICH_232,27.841,4.577,21.862,92.39,272.443,1094.733,6.014,Y,4879.369,1.017,Low yeild
TRICH_233,27.919,4.282,4.514,83.836,239.769,1839.459,4.497,N,4447.604,2.462,Medium Yeild
TRICH_234,30.888,6.118,38.6,102.151,235.181,453.609,6.422,N,3563.713,4.534,Low yeild
TRICH_235,27.336,6.105,28.201,106.733,281.582,284.826,6.862,N,3673.27,2.131,Low yeild
TRICH_236,25.243,5.709,30.044,77.844,253.442,1463.443,5.485,N,4116.824,1.652,Medium Yeild
TRICH_237,29.391,5.541,11.488,76.855,284.734,1738.208,8.402,Y,4486.138,-1.839,Medium Yeild
TRICH_238,21.98,4.381,27.442,117.123,235.01,1181.52,6.291,Y,5236.247,4.801,Medium Yeild
TRICH_239,25.591,4.663,8.697,83.976,253.995,1307.445,6.908,N,3566.909,6.524,Medium Yeild
TRICH_240,24.504,4.129,20.003,134.743,270.887,887.113,4.24,N,4483.185,0.36,Low yeild
TRICH_241,27.624,4.335,-16.836,101.565,277.132,2042.293,6.613,N,3511.115,3.633,High Yeild
TRICH_242,26.363,5.593,-6.931,99.276,261.014,2100.897,7.821,N,3927.555,2.174,Medium Yeild
TRICH_243,24.459,5.273,53.093,71.153,260.306,1140.024,5.586,N,2344.445,2.129,Medium Yeild
TRICH_244,29.186,5.793,23.837,126.051,267.422,1960.49,4.702,Y,4762.757,-1.994,Medium Yeild
TRICH_245,26.826,4.666,48.343,67.8,241.552,1092.632,6.366,Y,4046.742,1.708,Low yeild
TRICH_246,31.476,4.631,-3.489,92.451,246.119,978.245,5.088,N,5064.157,2.728,Medium Yeild
TRICH_247,26.601,6.216,17.882,73.94,235.614,1349.292,4.912,N,3678.72,2.967,Medium Yeild
TRICH_248,20.925,6.243,13.736,82.426,248.451,637.725,5.439,Y,3860.027,1.832,Low yeild
TRICH_249,27.673,3.773,22.77,108.905,253.897,745.306,6.567,Y,4098.067,3.038,Medium Yeild
TRICH_250,30.198,4.918,42.309,57.48,288.815,1327.249,4.789,N,3406.817,-1.535,Medium Yeild
TRICH_251,26.829,6.084,18.87,122.943,234.852,1264.398,6.504,Y,4347.709,-3.864,Low yeild
TRICH_252,27.523,6.889,56.06,104.124,245.451,1020.031,6.161,N,4431.741,0.919,Medium Yeild
TRICH_253,25.857,5.852,31.552,67.571,288.664,971.068,6.705,N,3014.136,5.245,Medium Yeild
TRICH_254,29.627,4.976,-0.997,105.499,278.691,1001.928,6.516,Y,4000.27,-0.284,Low yeild
TRICH_255,27.159,4.978,38.475,69.428,234.944,1072.338,6.369,Y,4374.45,0.611,Medium Yeild
TRICH_256,29.536,5.463,63.056,58.106,280.103,1404.884,5.401,Y,4414.005,2.443,Medium Yeild
TRICH_257,30.388,3.758,-10.595,58.06,273.331,526.52,6.989,Y,3895.843,0.62,Low yeild
